station_id,latitude,longitude
7687,20.2773,81.4924
7482,42.8496,74.6114
5761,25.0799,102.7582
8576,31.4011,120.6067
8571,40.0487,116.2385
8327,-8.5126,115.2482
7899,49.5045,21.425
8332,35.1677,137.0696
8585,30.8248,121.5691
8613,39.77,116.4592
8670,40.0106,116.195
8619,22.7864,113.9556
8618,39.7745,116.4565
8773,25.0665,102.7662
8617,30.0733,120.0835
8671,39.7726,116.461
8589,30.5613,114.3153
9471,29.9294,119.9228
10524,31.13,121.3531
9388,26.0308,119.2011
9683,32.0585,118.8343
9390,29.2983,117.2018
9458,26.2921,111.8609
9436,24.9125,118.5991
9588,25.1133,102.74
9375,38.864,121.616
9397,26.8621,100.1428
9475,24.6245,118.0808
9407,40.6798,111.4001
9392,30.2539,120.1084
9379,23.3275,113.5432
9396,39.8608,116.2835
9386,31.2178,121.5507
10927,31.2406,120.6864
11036,25.0687,102.7147
10815,30.7097,103.8582
10687,40.0936,116.3031
11264,25.049,102.5898
11659,25.0441,102.5954
9461,31.2856,120.6008
13219,35.8363,127.1132
12854,31.1666,121.443
1946,-37.879002,145.164902
3862,53.478901,6.17428
1606,53.6759,-2.804
3923,52.2474,6.4728
2943,51.82,6.6961
1928,43.8186,6.023
2641,49.7625,13.4265
845,51.1043,17.0335
3871,52.2354,6.625
8398,46.9796,7.1176
1200,52.5365,13.6114
1191,49.475,8.627
3652,52.0194,5.1715
3663,45.819,0.698
2636,51.8141,6.6953
2549,52.472977,13.110672
1934,52.0532,5.6392
250,52.9455,5.9267
3940,53.154701,8.1584
3824,51.2727,1.0943
3214,52.0056,-2.1813
1621,53.5331,8.6034
4016,47.855,-3.55
1066,35.18,26.09
2442,52.0632,4.4754
210,52.4153,13.2749
3433,48.0263,3.1751
3032,52.2153,8.3397
1390,41.3182,1.7012
3142,60.3903,23.1379
1531,52.3445,5.1423
260,51.0345,13.686
342,51.9305,-2.4603
1953,50.3546,7.604
798,53.7623,10.4711
1671,44.3403,4.7568
3197,51.5082,11.9616
1577,62.1418,25.6908
2537,44.340427,4.75654
2592,53.87,8.6811
3906,53.195354,7.418737
2883,52.1812,0.1176
2935,51.5422,-2.151
3567,47.360401,8.5388
2386,46.673,-1.3817
2169,46.4658,6.4096
2755,51.0534,7.037
3709,59.8777,29.5472
85,59.2523,18.2479
3488,40.728245,-3.878798
2848,50.620544,6.94875
2678,54.6261,-1.2924
3516,52.1798,4.5163
323,52.5079,4.674
3324,47.7828,7.2535
2790,52.120682,16.051121
1892,56.2328,9.749
3149,48.1854,16.318
1027,48.2272,11.6762
1656,53.7266,-0.4461
2319,45.829666,4.768559
2043,47.9554,-2.5226
3140,60.2806,24.9627
2497,52.491173,13.444485
1556,47.5043,18.989
3144,52.3944,12.9604
1579,51.3713,1.1264
2841,53.8329,11.9674
3749,51.533691,-0.094523
341,59.9087,10.8364
3229,56.1608,21.2003
3447,53.386,8.143
436,53.6397,10.2162
1659,52.8022,-3.0757
2676,51.0642,7.0299
3555,56.3578,-3.8077
2532,53.18,8.2406
328,56.2,-3.13
2304,53.513,10.0805
1362,51.5973,3.6851
2437,52.8758,-1.4582
2441,49.049995,3.409418
2971,48.104,11.4857
2976,52.7688,8.5569
1050,53.7923,-2.2927
3430,52.0362,7.6166
3060,51.069035,13.776965
211,-28.7687,153.3437
1137,52.6012,13.4566
512,45.0384,-0.7378
510,45.173,5.3546
3057,52.601307,13.456395
3961,51.593601,4.7154
3301,48.535419,9.286339
2491,50.854454,3.354067
996,59.2923,18.4382
3120,58.6396,16.7972
2082,52.094303,6.449745
2233,52.065,-0.0894
3030,51.9407,7.6119
379,53.4979,-0.318
3035,53.720798,10.1201
990,51.4251,12.5734
353,50.8848,0.009
2899,52.123447,6.227798
2403,51.4669,-0.961
3256,51.9028,7.6286
3435,53.192,5.8043
3691,50.7151,4.3945
3532,54.816563,9.575537
3270,53.1504,9.0128
2162,44.6526,-1.1717
2865,50.4198,30.5266
878,51.6767,-1.4389
3972,59.382225,18.116909
3790,51.599995,7.188563
3794,51.464401,-0.588267
3117,56.1774,14.8629
3276,52.5296,8.3564
3802,52.521133,13.46335
1783,52.0243,5.5819
392,63.4288,14.7461
2025,43.4791,1.526
4082,52.024456,5.581423
2264,51.215107,-0.318316
3855,52.182755,4.5109
3638,52.6669,4.8037
362,52.4409,-1.8587
3492,43.578949,3.006155
2614,52.688499,12.2471
3484,58.3424,15.3196
3369,47.648178,7.568809
2443,52.282227,4.587292
2483,52.544502,6.10989
2961,58.5998,16.1626
1936,51.0049,2.0641
2275,53.1402,6.3766
3031,47.5637,7.5974
2439,52.215878,5.462238
3315,47.238213,8.787
2807,53.1512,-1.3766
773,53.7784,-1.2542
3328,51.9728,7.6409
1673,49.6967,5.7445
2951,51.2358,-2.3518
1809,51.3552,4.4448
1473,54.416199,9.5136
267,47.4838,7.5575
3298,52.273499,10.225133
3323,46.538837,6.654181
979,63.3038,10.3327
1061,47.5234,19.059
2842,44.178,1.1245
2431,50.771694,0.119727
2777,50.553,3.2308
3440,57.7072,11.6554
270,50.7199,-2.0839
331,46.0626,3.5122
2289,55.94112,-3.095663
2840,53.0062,4.7845
485,57.0156,14.898
2509,52.089199,5.1294
2652,36.1896,-5.4401
3263,51.9676,7.6094
1674,47.8935,12.096
3025,52.2989,6.7545
3892,61.492622,23.283567
1057,52.5038,9.6252
